Month,CarSalesBase
2015-01,3.454
2015-02,3.708
2015-03,4.948
2015-04,5.982
2015-05,9.426
2015-06,7.971
2015-07,5.491
2015-08,5.892
2015-09,6.996
2015-10,3.618
2015-11,3.422
2015-12,3.55
2016-01,2.56
2016-02,3.754
2016-03,4.549
2016-04,4.462
2016-05,6.15
2016-06,4.064
2016-07,4.092
2016-08,4.946
2016-09,4.23
2016-10,3.381
2016-11,2.847
2016-12,3.772
2017-01,3.575
2017-02,3.981
2017-03,5.488
2017-04,3.329
2017-05,4.181
2017-06,4.026
2017-07,3.582
2017-08,4.247
2017-09,3.73
2017-10,3.418
2017-11,3.035
2017-12,3.657
2018-01,3.775
2018-02,3.559
2018-03,4.964
2018-04,3.151
2018-05,5.11
2018-06,4.8
2018-07,3.928
2018-08,3.938
