Week,trend
04/01/2015,68
11/01/2015,70
18/01/2015,66
25/01/2015,66
01/02/2015,62
08/02/2015,66
15/02/2015,68
22/02/2015,73
01/03/2015,61
08/03/2015,79
15/03/2015,74
22/03/2015,71
29/03/2015,68
05/04/2015,75
12/04/2015,72
19/04/2015,78
26/04/2015,70
03/05/2015,64
10/05/2015,78
17/05/2015,76
24/05/2015,80
31/05/2015,68
07/06/2015,79
14/06/2015,82
21/06/2015,91
28/06/2015,88
05/07/2015,82
12/07/2015,82
19/07/2015,94
26/07/2015,82
02/08/2015,82
09/08/2015,83
16/08/2015,81
23/08/2015,80
30/08/2015,71
06/09/2015,72
13/09/2015,67
20/09/2015,68
27/09/2015,69
04/10/2015,62
11/10/2015,65
18/10/2015,57
25/10/2015,67
01/11/2015,64
08/11/2015,64
15/11/2015,51
22/11/2015,60
29/11/2015,53
06/12/2015,60
13/12/2015,62
20/12/2015,62
27/12/2015,80
03/01/2016,64
10/01/2016,65
17/01/2016,70
24/01/2016,67
31/01/2016,71
07/02/2016,71
14/02/2016,73
21/02/2016,74
28/02/2016,80
06/03/2016,71
13/03/2016,72
20/03/2016,83
27/03/2016,73
03/04/2016,75
10/04/2016,72
17/04/2016,74
24/04/2016,77
01/05/2016,76
08/05/2016,79
15/05/2016,81
22/05/2016,73
29/05/2016,72
05/06/2016,79
12/06/2016,77
19/06/2016,83
26/06/2016,81
03/07/2016,83
10/07/2016,81
17/07/2016,83
24/07/2016,80
31/07/2016,85
07/08/2016,82
14/08/2016,80
21/08/2016,78
28/08/2016,76
04/09/2016,77
11/09/2016,79
18/09/2016,70
25/09/2016,67
02/10/2016,73
09/10/2016,76
16/10/2016,73
23/10/2016,70
30/10/2016,71
06/11/2016,62
13/11/2016,65
20/11/2016,72
27/11/2016,72
04/12/2016,67
11/12/2016,76
18/12/2016,71
25/12/2016,71
01/01/2017,73
08/01/2017,74
15/01/2017,66
22/01/2017,75
29/01/2017,73
05/02/2017,76
12/02/2017,70
19/02/2017,84
26/02/2017,79
05/03/2017,89
12/03/2017,85
19/03/2017,79
26/03/2017,87
02/04/2017,77
09/04/2017,81
16/04/2017,86
23/04/2017,80
30/04/2017,79
07/05/2017,77
14/05/2017,85
21/05/2017,84
28/05/2017,86
04/06/2017,84
11/06/2017,88
18/06/2017,92
25/06/2017,90
02/07/2017,92
09/07/2017,92
16/07/2017,91
23/07/2017,100
30/07/2017,91
06/08/2017,89
13/08/2017,90
20/08/2017,83
27/08/2017,84
03/09/2017,76
10/09/2017,76
17/09/2017,75
24/09/2017,80
01/10/2017,82
08/10/2017,88
15/10/2017,80
22/10/2017,75
29/10/2017,67
05/11/2017,71
12/11/2017,73
19/11/2017,69
26/11/2017,67
03/12/2017,63
10/12/2017,71
17/12/2017,65
24/12/2017,81
31/12/2017,73
07/01/2018,71
14/01/2018,70
21/01/2018,76
28/01/2018,76
04/02/2018,72
11/02/2018,73
18/02/2018,78
25/02/2018,84
04/03/2018,76
11/03/2018,76
18/03/2018,82
25/03/2018,76
01/04/2018,83
08/04/2018,78
15/04/2018,84
22/04/2018,92
29/04/2018,85
06/05/2018,75
13/05/2018,86
20/05/2018,93
27/05/2018,86
03/06/2018,83
10/06/2018,86
17/06/2018,83
24/06/2018,88
01/07/2018,92
08/07/2018,90
15/07/2018,82
22/07/2018,98
29/07/2018,90
05/08/2018,89
12/08/2018,93
19/08/2018,90
26/08/2018,85
